>>>Bus Voltage                                                                                                                      
 BUSNo     BUSName        Vol_pu     Vol_kV      Ang                                                                                 
	 1 	BUS-1     100.00       1.0473596567311978		104.73596567311978         -9.5736597829335270  
     2	BUS-2     100.00       1.0484789274624755		104.84789274624755         -7.0111120140005392 
     3	BUS-3     100.00       1.0300277533985045		103.00277533985045         -9.8603576662742274  
	 4 	BUS-4     100.00       1.0035458496427814		100.35458496427814         -10.6574167836542255    
	 5	BUS-5     100.00       1.0048357695620036		100.48357695620036         -9.4710382129730011    
	 6	BUS-6     100.00       1.0071935213533345		100.71935213533345         -8.7689074979274118    
	 7	BUS-7     100.00       0.9965293172652134		99.65293172652134          -10.9731117395955771    
	 8	BUS-8     100.00       0.9955606303922584		99.55606303922584          -11.4793238671432221    
	 9	BUS-9     100.00       1.0280239633997033		102.80239633997033         -11.3031145515558009  
	 10	BUS-10    100.00       1.0168363621368526		101.68363621368526         -6.3827412795124241     
	 11	BUS-11    100.00       1.0123467530902353		101.23467530902353         -7.1966991227997363    
	 12 BUS-12    100.00       0.9998011002695870		99.98011002695870          -7.2120624512774025   
	 13	BUS-13    100.00       1.0139855324197382		101.39855324197382         -7.0972294269443079    
	 14	BUS-14    100.00       1.0114782381715568		101.14782381715568         -8.7666120117230033    
	 15	BUS-15    100.00       1.0154513043710736		101.54513043710736         -9.1823883496908767    
	 16	BUS-16    100.00       1.0318920521257045		103.18920521257045         -7.7770903762418513    
	 17	BUS-17    100.00       1.0335564714365812		103.35564714365812         -8.7758191303238018     
	 18 BUS-18    100.00       1.0308977168548938		103.08977168548938         -9.6174017010607642     
	 19 BUS-19    100.00       1.0497148802797178		104.97148802797178         -3.1503751597746619    
	 20 BUS-20    100.00       0.9906638884489326		99.06638884489326          -4.5625863317246260    
	 21	BUS-21    100.00       1.0317265307991912		103.17265307991912         -5.3697614225639132    
	 22	BUS-22    100.00       1.0496058010211595		104.96058010211595         -0.9194282485216000    
	 23	BUS-23    100.00       1.0445716486457566		104.45716486457566         -1.1176601432807312     
	 24	BUS-24    100.00 	   1.0373804773352659		103.73804773352659         -7.6573949001477999     
	 25	BUS-25    100.00       1.0569580160546941		105.69580160546941         -5.6445008153626377    
	 26	BUS-26    100.00       1.0516396340595713		105.16396340595713         -6.9035898303001710     
	 27	BUS-27    100.00       1.0374810310067928		103.74810310067928         -8.9176476773733064    
	 28 BUS-28    100.00       1.0496254307552979		104.96254307552979         -3.3884763690797839     
	 29 BUS-29    100.00       1.0494360221159031		104.94360221159031         -0.6265838219558292     
	 30	BUS-30    100.00       1.0470000375842898		104.70000375842898         -4.5895918817880750   
	 31	BUS-31    100.00       0.9819999933242798		98.19999933242798           0.0000000000000000   
	 32	BUS-32    100.00       0.9829999513491923 		98.29999513491923           1.6166520474251966    
	 33	BUS-33    100.00       0.9970000519609056		99.70000519609056           2.0690499737804839     
	 34	BUS-34    100.00       1.0119998898463478		101.19998898463478          0.6307297049141289    
	 35	BUS-35    100.00       1.0489999538775230		104.89999538775230          4.0446391767683156    
	 36	BUS-36    100.00       1.0629998972959289		106.29998972959289          6.7408783529114062    
	 37	BUS-37    100.00       1.0270000472275995		102.70000472275995          1.1495179470634389   
	 38	BUS-38    100.00       1.0259999610871082		102.59999610871082          6.4436729389126715    
	 39 BUS-39    100.00       1.0299999440972658		102.99999440972658         -11.1118568596317218   
>>>Gen MW/MVAR                                                                                                                      
 BUSNo     BUSName     GENID    PMW    QMVAR     Q_max   Q_min   V_set  RBusN   RVol    Vhi   LVol    Vlo                             
	 BUS-30      100.00    0          250.0000       144.6547           0.0000     99990.0000     -9999.0000        23  -250.00
	 BUS-31      100.00    0          572.8723       207.6785           0.0000     99990.0000     -9999.0000        24  -572.87
	 BUS-32      100.00    0          650.0000       206.0987           0.0000     99990.0000     -9999.0000        25  -650.00
	 BUS-33      100.00    0          632.0000       109.4497           0.0000     99990.0000     -9999.0000        26  -632.00
	 BUS-34      100.00    0          508.0000       166.8967           0.0000     99990.0000     -9999.0000        27  -508.00
	 BUS-35      100.00    0          650.0000       211.5250           0.0000     99990.0000     -9999.0000        28  -650.00
	 BUS-36      100.00    0          560.0000       100.0632           0.0000     99990.0000     -9999.0000        29  -560.00
	 BUS-37      100.00    0          540.0000        -0.4088           0.0000     99990.0000     -9999.0000        30  -540.00
	 BUS-38      100.00    0          830.0000        22.8449           0.0000     99990.0000     -9999.0000        31  -830.00
	 BUS-39      100.00    0         1000.0000        88.9193           0.0000     99990.0000     -9999.0000        32 -1000.00	 
>>>Line/Transformer MW/MVAR Flow                                                                                                                                    
FBUSNo     FBUSName     TBUSNo     TBUSName    CKD    PFT       QFT       PTF       QTF        DP        DQ       QFCHRG    QTCHRG                                  
	 1	BUS-1	100.0	     2	BUS-2	100.0		-118.6		-28.4		 119.1		-43.0		0.452		-71.418		38.322		38.404				
	 1	BUS-1	100.0	     39	BUS-39	100.0		 118.6       28.4		-118.4		-105.0		0.172		-76.611		41.136		39.784
	 2	BUS-2	100.0		 3	BUS-3	100.0		364.6        91.4		-362.9  	-99.4		1.704		-7.990		14.137		13.644
	 2	BUS-2	100.0		 25	BUS-25	100.0		-233.7       82.5		237.7  		-93.7		3.998		-11.268		8.025		8.155
	 2	BUS-2	100.0		 30	BUS-30	100.0		-250.0       -130.9		250.0  		144.7		0.000		13.775		102.5/100.0		100.0/102.5
	 3	BUS-3	100.0		 4	BUS-4	100.0		75.1      	 112.2		-74.8  		-130.9		0.257		-18.677		11.745		11.149
	 3	BUS-3	100.0		 18	BUS-18	100.0		-34.2     	 -15.2		34.2  		-7.4		0.012		-22.555		11.342		11.361
	 4	BUS-4	100.0		 5	BUS-5	100.0		-163.0     	 -5.0		163.2  		-5.2		0.211		-10.155		6.758		6.775
	 4	BUS-4	100.0		 14	BUS-14	100.0		-262.2     	 -48.1		262.7  		43.1		0.559		-5.007		6.959		7.069
	 5	BUS-5	100.0		 6	BUS-6	100.0		-480.9     	 -53.4		481.4  		55.0		0.463		1.632		2.191		2.201
	 5	BUS-5	100.0		 8	BUS-8	100.0		317.7     	 58.6		-316.9  	-61.6		0.834		-3.085		7.451		7.315
	 6	BUS-6	100.0		 7	BUS-7	100.0		425.9     	 91.3		-424.8  	-85.3		1.129		5.964		5.732		5.611
	 6	BUS-6	100.0		 11	BUS-11	100.0		-343.7     	 -36.3		344.5 	 	31.8		0.821		-4.547		7.045		7.118
	 6	BUS-6	100.0		 31	BUS-31	100.0		-563.7     	 -110.0		563.7 	 	203.1		0.000		93.061		107.0/100.0		100.0/107.0
	 7	BUS-7	100.0		 8	BUS-8	100.0		191.0     	 1.3		-190.9  	-7.4		1.129		5.964		3.873		3.866
	 8	BUS-8	100.0		 9	BUS-9	100.0		-14.3     	 -107.0		14.4  		70.9		0.185		-36.034		18.85		20.101
	 9	BUS-9	100.0		 39	BUS-39	100.0		-14.4     	 -70.9		14.4  		-56.1		0.003		-127.002	63.410		63.654
	 10	BUS-10	100.0	     11	BUS-11	100.0		347.2		72.5		-346.7		-74.8		0.489		-2.250		3.769		3.736
	 10	BUS-10	100.0	     13	BUS-13	100.0		302.8		37.3		-302.5		-41.0		0.361		-3.633		3.769		3.748
	 10	BUS-10	100.0	     32	BUS-32	100.0		-650.0		-109.9		650.0		206.1		0.000		96.240		107.0/100.0		100.0/107.0
	 11	BUS-11	100.0	     12	BUS-12	100.0		2.2			43.0		-2.2		-42.2		0.029		0.78		100.0/100.6		100.6/100.0
	 12	BUS-12	100.0	     13	BUS-13	100.0		-6.3		-45.8		6.4			46.70		0.035		0.941		100.6/100.0		100.0/100.6
	 13	BUS-13	100.0	     14 BUS-14	100.0		296.1		-5.8		-295.3		-3.3		0.768		-9.058		8.858		8.814 
	 14	BUS-14	100.0	     15 BUS-15	100.0		32.6		-39.8		-32.6		2.5			0.027		-37.273		18.723		18.870
	 15	BUS-15	100.0	     16 BUS-16	100.0		-287.4		-155.5		288.3		147.1		0.909		-8.427		8.817		9.104
	 16	BUS-16	100.0	     17 BUS-17	100.0		206.2		-40.8		-205.9		30.2		0.287		-10.663		7.145		7.168
	 16	BUS-16	100.0	     19 BUS-19	100.0		-451.3		-55.4		454.4		60.0		3.083		4.644		16.185		16.749
	 16	BUS-16	100.0	     21 BUS-21	100.0		-329.6		14.2		330.4		-27.4		0.822		-13.256		13.566		13.562
	 16	BUS-16	100.0	     24 BUS-24	100.0		-42.7		-97.4		42.7		90.7		0.030		-6.690		3.620		3.659
	 17	BUS-17	100.0	     18 BUS-18	100.0		192.4		11.4 		 -192.2		-22.6		0.245		-11.185		7.045		7.009
	 17	BUS-17	100.0	     27 BUS-27	100.0		13.5		-41.6		 -13.5		7.3			0.009		-34.358		17.177		17.308
	 19	BUS-19	100.0	     20 BUS-20	100.0		174.7		-9.3 		 -174.5		13.6		0.219		4.309 		106.0/100.0		100.0/106.0
	 19	BUS-19	100.0	     33 BUS-33	100.0		-629.1		-50.7 		 632.0		109.4		2.897		58.772 		107.0/100.0		100.0/107.0
	 20	BUS-20	100.0		 34	BUS-34	100.0		-505.5      -116.6		508.0  		166.9		2.513		50.252		100.9/100.0		100.0/100.9
	 21	BUS-21	100.0		 22	BUS-22	100.0		-604.4      -87.6		607.2  		108.5		2.787 		20.986		13.652		14.129
	 22	BUS-22	100.0		 23	BUS-23	100.0		42.8        42.3		-42.8  		-62.1		0.025 		-19.841		10.168		10.071
